GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978687,Argyle,Town,"3,782","1,879",57.8,Washington,Capital Region,1,"1,300",69,1,290,15,0,0,0,2,"1,300",69,6,"1,800",96,4
978688,Arietta,Town,304,726,329,Hamilton,North Country Region,1,0,0,1,560,77,0,0,0,2,580,80,2,0,0,4
942554,Arkport,Village,844,379,0.7,Steuben,Southern Tier Region,1,360,95,1,360,95,0,0,0,2,360,95,3,360,95,4
978689,Arkwright,Town,"1,061",539,35.8,Chautauqua,Western NY Region,1,70,13,2,410,76,1,0,0,4,410,76,5,520,96,4
942621,Asharoken,Village,654,302,1.5,Suffolk,Long Island Region,1,290,96,1,240,79,1,290,96,2,290,96,4,240,79,4
978690,Ashford,Town,"2,132","1,044",51.4,Cattaraugus,Western NY Region,0,0,0,2,940,90,1,0,0,3,940,90,4,"1,000",96,4
978691,Ashland,Town,"1,695",762,14.7,Chemung,Southern Tier Region,1,600,79,1,440,58,2,60,8,4,720,94,4,730,96,4
978692,Ashland,Town,784,679,25,Greene,Capital Region,1,640,94,1,410,60,1,0,0,2,640,94,4,650,96,4
978693,Athens,Town,"4,089","2,248",28.9,Greene,Capital Region,1,"2,100",93,2,"1,900",85,1,0,0,3,"2,100",93,5,"2,100",93,4
942673,Atlantic Beach,Village,"1,891","1,091",0.7,Nassau,Long Island Region,1,"1,000",92,2,"1,000",92,3,"1,000",92,5,"1,000",92,4,"1,000",92,4
978694,Attica,Town,"7,702","1,729",36.1,Wyoming,Finger Lakes Region,1,"1,400",81,2,"1,500",87,1,0,0,4,"1,600",93,5,"1,600",93,4
978695,Auburn,City,"27,687","12,639",8.4,Cayuga,Central NY Region,1,"12,200",97,1,"11,400",90,3,"11,900",94,4,"12,200",97,5,"12,200",97,4
978696,Augusta,Town,"2,020",857,27.7,Oneida,Mohawk Valley Region,1,630,74,3,820,96,0,0,0,4,830,97,4,830,97,4
978697,Aurelius,Town,"2,792","1,303",32,Cayuga,Central NY Region,1,"1,100",84,1,"1,000",77,2,460,35,3,"1,200",92,5,"1,200",92,4
978698,Aurora,Town,"13,782","5,843",36.5,Erie,Western NY Region,1,"5,600",96,1,"5,500",94,2,0,0,3,"5,600",96,6,"5,600",96,4
978699,Ausable,Town,"3,146","1,473",43.8,Clinton,North Country Region,1,"1,300",88,2,"1,300",88,0,0,0,3,"1,400",95,5,"1,400",95,4
978700,Austerlitz,Town,"1,654","1,082",48.8,Columbia,Capital Region,0,0,0,2,"1,000",92,0,0,0,2,"1,000",92,6,"1,000",92,4
978701,Ava,Town,676,301,37.6,Oneida,Mohawk Valley Region,1,110,37,2,160,53,0,0,0,3,210,70,4,290,96,4
978702,Avoca,Town,"2,264","1,069",36.3,Steuben,Southern Tier Region,1,900,84,2,0,0,1,0,0,4,910,85,3,"1,000",94,4
978703,Avon,Town,"7,164","3,115",41.2,Livingston,Finger Lakes Region,1,"2,900",93,1,"3,000",96,2,0,0,4,"3,000",96,5,"3,000",96,4
978704,Babylon,Town,"213,603","74,233",102.1,Suffolk,Long Island Region,1,"71,900",97,2,"64,900",87,4,"66,900",90,6,"72,000",97,6,"71,700",97,4
978705,Bainbridge,Town,"3,308","1,554",34.8,Chenango,Southern Tier Region,1,"1,300",84,2,"1,400",90,0,0,0,3,"1,500",97,5,"1,500",97,4
978706,Baldwin,Town,832,388,25.8,Chemung,Southern Tier Region,1,20,5,2,250,64,0,0,0,3,270,70,5,370,95,4
942909,Baldwinsville,Village,"7,378","3,274",3.2,Onondaga,Central NY Region,1,"3,100",95,1,"2,600",79,2,"3,100",95,3,"3,100",95,6,"3,100",95,4
978707,Ballston,Town,"9,776","3,914",30.2,Saratoga,Capital Region,1,"3,700",95,1,"3,600",92,2,0,0,4,"3,700",95,5,"3,700",95,4
978708,Bangor,Town,"2,224",928,43.1,Franklin,North Country Region,1,620,67,1,420,45,1,270,29,3,730,79,3,900,97,4
978709,Barker,Town,"2,732","1,114",41.7,Broome,Southern Tier Region,1,"1,000",90,2,"1,000",90,1,0,0,4,"1,000",90,5,"1,000",90,4
943010,Barker,Village,533,234,0.4,Niagara,Western NY Region,1,220,94,1,220,94,0,0,0,2,220,94,4,220,94,4
967789,Barneveld,Village,284,129,0.2,Oneida,Mohawk Valley Region,1,120,93,0,0,0,1,0,0,2,120,93,2,120,93,4
978710,Barre,Town,"2,025",827,55.1,Orleans,Finger Lakes Region,1,700,85,1,490,59,0,0,0,2,740,89,5,800,97,4
978711,Barrington,Town,"1,681","1,108",37.2,Yates,Finger Lakes Region,1,680,61,2,810,73,0,0,0,3,"1,000",90,2,"1,000",90,4
978712,Barton,Town,"8,858","3,930",59.7,Tioga,Southern Tier Region,2,"3,400",87,2,"3,500",89,0,0,0,4,"3,700",94,5,"3,800",97,4
978713,Batavia,City,"15,465","7,219",5.3,Genesee,Finger Lakes Region,1,"7,000",97,1,"6,900",96,2,0,0,4,"7,000",97,5,"7,000",97,4
978714,Batavia,Town,"6,809","2,582",48.4,Genesee,Finger Lakes Region,1,"2,400",93,2,"2,300",89,1,0,0,4,"2,400",93,6,"2,500",97,4
978715,Bath,Town,"12,379","5,822",96.3,Steuben,Southern Tier Region,1,"4,900",84,1,"4,400",76,3,"2,500",43,5,"5,300",91,3,"5,600",96,4
943176,Baxter Estates,Village,999,411,0.2,Nassau,Long Island Region,1,390,95,2,390,95,1,390,95,3,390,95,4,390,95,4
943216,Bayville,Village,"6,669","2,651",1.4,Nassau,Long Island Region,1,"2,500",94,1,"2,100",79,3,"2,500",94,4,"2,500",94,4,"2,500",94,4
978716,Beacon,City,"15,541","5,715",4.9,Dutchess,Mid-Hudson Region,1,"5,500",96,1,"5,500",96,3,"1,200",21,4,"5,500",96,4,"5,500",96,4
978717,Bedford,Town,"17,335","6,326",39.6,Westchester,Mid-Hudson Region,1,"6,100",96,1,"5,500",87,5,"6,000",95,6,"6,100",96,4,"6,100",96,4
978718,Beekman,Town,"14,621","4,797",30.7,Dutchess,Mid-Hudson Region,2,"4,600",96,2,"4,500",94,1,0,0,5,"4,600",96,4,"4,600",96,4
978719,Beekmantown,Town,"5,545","2,469",69.5,Clinton,North Country Region,2,"2,200",89,3,"1,900",77,2,480,19,5,"2,300",93,5,"2,300",93,4
978720,Belfast,Town,"1,663","1,044",36.6,Allegany,Western NY Region,1,550,53,1,50,5,0,0,0,2,630,60,4,"1,000",96,4
943608,Bellerose,Village,"1,193",378,0.1,Nassau,Long Island Region,2,360,95,2,360,95,1,360,95,4,360,95,4,360,95,4
943606,Belle Terre,Village,792,308,0.9,Suffolk,Long Island Region,1,290,94,1,240,78,1,280,91,2,290,94,4,290,94,4
978721,Bellmont,Town,"1,434","1,257",167,Franklin,North Country Region,1,0,0,1,200,16,0,0,0,2,210,17,3,"1,100",88,4
943626,Bellport,Village,"2,084","1,170",1.5,Suffolk,Long Island Region,1,"1,100",94,2,"1,100",94,2,0,0,5,"1,100",94,5,"1,100",94,4
977517,Belmont,Village,969,455,1,Allegany,Western NY Region,1,440,97,1,430,95,0,0,0,2,440,97,4,440,97,4
943649,Bemus Point,Village,364,293,0.4,Chautauqua,Western NY Region,1,280,96,1,270,92,0,0,0,2,280,96,3,280,96,4
978722,Bennington,Town,"3,359","1,425",55.3,Wyoming,Finger Lakes Region,1,"1,300",91,2,910,64,0,0,0,3,"1,300",91,6,"1,300",91,4
978723,Benson,Town,192,177,83.3,Hamilton,North Country Region,1,10,6,1,160,90,0,0,0,2,160,90,3,90,51,4
978724,Benton,Town,"2,836","1,093",44.4,Yates,Finger Lakes Region,1,670,61,2,870,80,0,0,0,3,940,86,5,"1,000",91,4
978725,Bergen,Town,"3,120","1,293",27.6,Genesee,Finger Lakes Region,1,"1,200",93,1,"1,100",85,1,0,0,3,"1,200",93,5,"1,200",93,4
978726,Berkshire,Town,"1,412",585,30.5,Tioga,Southern Tier Region,1,420,72,1,560,96,2,0,0,3,560,96,4,560,96,4
978727,Berlin,Town,"1,880","1,100",60.3,Rensselaer,Capital Region,1,0,0,2,930,85,0,0,0,3,950,86,4,"1,000",91,4
978728,Berne,Town,"2,794","1,634",64.6,Albany,Capital Region,1,"1,100",67,1,20,1,0,0,0,2,"1,100",67,4,"1,500",92,4
978729,Bethany,Town,"1,765",710,36.1,Genesee,Finger Lakes Region,1,500,70,1,510,72,0,0,0,2,580,82,5,680,96,4
978730,Bethel,Town,"4,255","3,954",89.9,Sullivan,Mid-Hudson Region,1,"3,500",89,2,"3,100",78,0,0,0,3,"3,600",91,3,"3,800",96,4
978731,Bethlehem,Town,"33,656","14,029",49.4,Albany,Capital Region,1,"13,600",97,1,"10,200",73,5,"9,900",71,6,"13,600",97,5,"13,600",97,4
978732,Big Flats,Town,"7,731","3,267",45.3,Chemung,Southern Tier Region,1,"3,000",92,1,"2,600",80,2,0,0,4,"3,100",95,4,"3,100",95,4
978733,Binghamton,City,"47,376","23,842",11.1,Broome,Southern Tier Region,1,"23,100",97,1,"22,900",96,4,0,0,6,"23,100",97,5,"23,100",97,4
978734,Binghamton,Town,"4,942","1,985",25.2,Broome,Southern Tier Region,1,"1,800",91,2,"1,800",91,3,0,0,6,"1,900",96,5,"1,900",96,4
978735,Birdsall,Town,221,335,36.1,Allegany,Western NY Region,0,0,0,1,0,0,0,0,0,1,0,0,4,310,93,4
978736,Black Brook,Town,"1,497",974,134.1,Clinton,North Country Region,1,500,51,2,680,70,0,0,0,3,710,73,4,800,82,4
944178,Black River,Village,"1,348",596,1.9,Jefferson,North Country Region,1,570,96,1,550,92,0,0,0,2,570,96,4,570,96,4
944230,Blasdell,Village,"2,553","1,253",1,Erie,Western NY Region,1,"1,200",96,1,"1,100",88,3,"1,200",96,4,"1,200",96,6,"1,200",96,4
978737,Bleecker,Town,533,487,59.4,Fulton,Mohawk Valley Region,1,270,55,1,290,60,0,0,0,2,430,88,3,380,78,4
978738,Blenheim,Town,377,361,34.2,Schoharie,Mohawk Valley Region,0,0,0,2,260,72,0,0,0,2,260,72,4,330,91,4
979686,Bloomfield,Village,"1,361",589,1.4,Ontario,Finger Lakes Region,1,570,97,1,570,97,2,0,0,4,570,97,5,570,97,4
975768,Bloomingburg,Village,420,221,0.3,Sullivan,Mid-Hudson Region,1,210,95,1,210,95,0,0,0,2,210,95,4,210,95,4
978739,Blooming Grove,Town,"18,028","6,954",35.7,Orange,Mid-Hudson Region,2,"6,700",96,1,"6,700",96,2,0,0,5,"6,700",96,4,"6,700",96,4
978740,Bolivar,Town,"2,189","1,078",35.9,Allegany,Western NY Region,1,910,84,1,810,75,0,0,0,2,940,87,2,"1,000",93,4
978741,Bolton,Town,"2,326","2,580",86.1,Warren,Capital Region,1,"2,400",93,1,"2,100",81,0,0,0,2,"2,400",93,4,"2,400",93,4
978742,Bombay,Town,"1,357",572,56.8,Franklin,North Country Region,1,380,66,0,0,0,0,0,0,1,380,66,3,550,96,4
978743,Boonville,Town,"4,555","2,289",72.4,Oneida,Mohawk Valley Region,1,"1,700",74,1,"2,100",92,1,0,0,3,"2,200",96,4,"2,200",96,4
978744,Boston,Town,"8,023","3,388",35.8,Erie,Western NY Region,1,"3,200",94,1,"2,500",74,2,"1,500",44,3,"3,200",94,6,"3,200",94,4
978745,Bovina,Town,633,570,44.9,Delaware,Southern Tier Region,0,0,0,2,530,93,1,220,39,2,530,93,4,540,95,4
978746,Boylston,Town,549,296,39.2,Oswego,Central NY Region,1,0,0,1,220,74,0,0,0,2,220,74,4,280,95,4
978747,Bradford,Town,855,390,24.8,Steuben,Southern Tier Region,2,150,38,1,0,0,0,0,0,3,160,41,3,370,95,4
978748,Brandon,Town,577,311,41.3,Franklin,North Country Region,1,20,6,1,190,61,1,190,61,3,230,74,2,300,96,4
978749,Brant,Town,"2,065",952,35,Erie,Western NY Region,1,860,90,1,630,66,0,0,0,2,860,90,6,920,97,4
978750,Brasher,Town,"2,512","1,129",92,St. Lawrence,North Country Region,1,750,66,2,690,61,1,50,4,4,970,86,3,"1,000",89,4
944699,Brewster,Village,"2,390",961,0.4,Putnam,Mid-Hudson Region,1,930,97,1,910,95,2,560,58,3,930,97,4,930,97,4
969912,Briarcliff Manor,Village,"7,867","2,753",6,Westchester,Mid-Hudson Region,1,"2,600",94,2,"2,600",94,4,"2,300",84,6,"2,600",94,4,"2,600",94,4
978751,Bridgewater,Town,"1,522",635,23.8,Oneida,Mohawk Valley Region,1,540,85,2,270,43,0,0,0,3,600,94,3,610,96,4
978752,Brighton,Town,"1,435",801,82.9,Franklin,North Country Region,1,620,77,2,140,17,0,0,0,3,630,79,3,740,92,4
978753,Brighton,Town,"36,609","17,087",15.6,Monroe,Finger Lakes Region,1,"16,500",97,1,"16,300",95,4,0,0,6,"16,500",97,5,"16,500",97,4
975774,Brightwaters,Village,"3,103","1,156",1,Suffolk,Long Island Region,1,"1,100",95,2,"1,100",95,2,"1,100",95,4,"1,100",95,5,"1,100",95,4
978754,Bristol,Town,"2,315","1,058",36.7,Ontario,Finger Lakes Region,1,790,75,1,950,90,1,0,0,3,"1,000",95,5,"1,000",95,4
978755,Broadalbin,Town,"5,260","2,736",39.8,Fulton,Mohawk Valley Region,1,"2,600",95,2,"2,500",91,0,0,0,3,"2,600",95,3,"2,600",95,4
944801,Brockport,Village,"8,366","2,679",2.2,Monroe,Finger Lakes Region,1,"2,500",93,1,"2,500",93,1,0,0,3,"2,500",93,5,"2,500",93,4
944808,Brocton,Village,"1,486",656,1.7,Chautauqua,Western NY Region,1,630,96,1,620,95,0,0,0,2,630,96,3,630,96,4
978756,Bronx,Borough,"1,385,108","511,896",57.5,Bronx,New York City,3,"496,000",97,2,"496,000",97,4,"322,000",63,8,"496,000",97,6,"496,000",97,4
944824,Bronxville,Village,"6,323","2,430",1,Westchester,Mid-Hudson Region,2,"2,300",95,2,"2,300",95,3,"2,200",91,6,"2,300",95,4,"2,300",95,4
978757,Brookfield,Town,"2,545","1,160",77.9,Madison,Central NY Region,1,550,47,1,"1,000",86,0,0,0,2,"1,100",95,3,"1,100",95,4
978758,Brookhaven,Town,"486,040","175,026",510.4,Suffolk,Long Island Region,1,"167,000",95,2,"162,000",93,4,"32,900",19,6,"169,000",97,6,"169,000",97,4
978759,Brooklyn,Borough,"2,504,700","1,000,293",97.1,Kings,New York City,3,"970,000",97,2,"970,000",97,6,"505,000",50,10,"970,000",97,7,"969,000",97,4
944887,Brookville,Village,"3,465",663,4,Nassau,Long Island Region,1,640,97,2,640,97,3,180,27,5,640,97,4,640,97,4
978760,Broome,Town,973,821,48.1,Schoharie,Mohawk Valley Region,1,0,0,1,630,77,0,0,0,2,630,77,4,680,83,4
978761,Brownville,Town,"6,263","3,084",72.9,Jefferson,North Country Region,1,"2,700",88,2,"2,700",88,0,0,0,3,"2,900",94,4,"2,900",94,4
978762,Brunswick,Town,"11,941","5,279",44.5,Rensselaer,Capital Region,1,"5,100",97,1,"4,800",91,0,0,0,2,"5,100",97,6,"5,100",97,4
944982,Brushton,Village,474,241,0.3,Franklin,North Country Region,1,230,95,0,0,0,0,0,0,1,230,95,2,230,95,4
978763,Brutus,Town,"4,464","1,916",22.4,Cayuga,Central NY Region,1,"1,800",94,2,"1,700",89,1,0,0,4,"1,800",94,5,"1,800",94,4
945006,Buchanan,Village,"2,230",863,1.5,Westchester,Mid-Hudson Region,1,830,96,2,830,96,3,830,96,5,830,96,4,830,96,4
978764,Buffalo,City,"261,310","133,444",51.6,Erie,Western NY Region,1,"129,000",97,1,"128,000",96,6,"20,200",15,7,"129,000",97,6,"129,000",97,4
973990,Burdett,Village,340,166,0.9,Schuyler,Southern Tier Region,1,160,96,1,160,96,2,160,96,3,160,96,3,160,96,4
978765,Burke,Town,"1,465",614,44.4,Franklin,North Country Region,1,350,57,1,360,59,0,0,0,2,450,73,3,590,96,4
978766,Burlington,Town,"1,140",553,44.9,Otsego,Mohawk Valley Region,1,430,78,1,250,45,0,0,0,2,480,87,4,530,96,4
978767,Burns,Town,"1,180",583,27.2,Allegany,Western NY Region,1,400,69,1,0,0,0,0,0,2,400,69,4,560,96,4
978768,Busti,Town,"7,351","3,931",51,Chautauqua,Western NY Region,1,"3,500",89,1,"3,700",94,2,0,0,4,"3,800",97,3,"3,800",97,4
978769,Butler,Town,"2,064",785,37.2,Wayne,Finger Lakes Region,1,550,70,2,610,78,0,0,0,3,690,88,4,760,97,4
978770,Butternuts,Town,"1,786","1,012",54.4,Otsego,Mohawk Valley Region,1,580,57,2,920,91,0,0,0,3,960,95,5,930,92,4
978771,Byron,Town,"2,369",966,32.3,Genesee,Finger Lakes Region,1,930,96,0,0,0,0,0,0,1,930,96,5,930,96,4
978772,Cairo,Town,"6,670","3,654",60.1,Greene,Capital Region,1,"3,500",96,1,"3,000",82,1,0,0,2,"3,500",96,6,"3,500",96,4
978773,Caledonia,Town,"4,255","1,802",44.2,Livingston,Finger Lakes Region,1,"1,600",89,1,"1,600",89,1,0,0,3,"1,700",94,5,"1,700",94,4
978774,Callicoon,Town,"3,057","2,003",48.9,Sullivan,Mid-Hudson Region,1,"1,900",95,1,20,1,0,0,0,2,"1,900",95,3,"1,900",95,4
978775,Cambria,Town,"5,839","2,292",39.8,Niagara,Western NY Region,1,"2,200",96,2,"2,100",92,2,0,0,5,"2,200",96,6,"2,200",96,4
978776,Cambridge,Town,"2,021",895,36.4,Washington,Capital Region,1,410,46,1,660,74,1,280,31,3,710,79,6,860,96,4
978777,Camden,Town,"4,934","2,165",54.1,Oneida,Mohawk Valley Region,1,"1,700",79,2,"1,800",83,0,0,0,3,"1,900",88,3,"2,100",97,4
978778,Cameron,Town,945,483,46.7,Steuben,Southern Tier Region,1,40,8,2,80,17,0,0,0,3,140,29,2,420,87,4
978779,Camillus,Town,"24,167","10,507",34.4,Onondaga,Central NY Region,1,"10,100",96,2,"6,400",61,4,"9,100",87,6,"10,100",96,6,"10,100",96,4
978780,Campbell,Town,"3,406","1,460",40.8,Steuben,Southern Tier Region,1,"1,300",89,1,440,30,0,0,0,2,"1,300",89,5,"1,400",96,4
978781,Canaan,Town,"1,710","1,120",36.9,Columbia,Capital Region,1,90,8,1,"1,000",89,0,0,0,2,"1,000",89,3,"1,000",89,4
978782,Canadice,Town,"1,664","1,117",32.4,Ontario,Finger Lakes Region,1,560,50,1,"1,000",90,1,0,0,3,"1,000",90,4,"1,000",90,4
978783,Canajoharie,Town,"3,730","1,693",43,Montgomery,Mohawk Valley Region,1,"1,400",83,1,"1,600",95,0,0,0,2,"1,600",95,4,"1,600",95,4
978784,Canandaigua,City,"10,545","5,203",4.8,Ontario,Finger Lakes Region,1,"5,000",96,1,"5,000",96,3,0,0,5,"5,000",96,5,"5,000",96,4
978785,Canandaigua,Town,"10,020","4,529",62.5,Ontario,Finger Lakes Region,1,"4,100",91,1,"4,300",95,2,0,0,4,"4,300",95,5,"4,300",95,4
945753,Canaseraga,Village,550,248,1.1,Allegany,Western NY Region,1,240,97,0,0,0,0,0,0,1,240,97,3,240,97,4
945755,Canastota,Village,"4,804","2,099",3.3,Madison,Central NY Region,1,"2,000",95,1,"2,000",95,0,0,0,2,"2,000",95,5,"2,000",95,4
978786,Candor,Town,"5,305","2,359",94.6,Tioga,Southern Tier Region,2,"1,800",76,2,"2,000",85,3,0,0,6,"2,100",89,5,"2,200",93,4
978787,Caneadea,Town,"2,542","1,059",36.4,Allegany,Western NY Region,1,610,58,1,310,29,0,0,0,2,650,61,3,"1,000",94,4
978788,Canisteo,Town,"3,391","1,702",54.4,Steuben,Southern Tier Region,1,"1,300",76,2,"1,300",76,0,0,0,3,"1,500",88,3,"1,600",94,4
978789,Canton,Town,"10,995","3,657",105.9,St. Lawrence,North Country Region,1,"3,300",90,2,"3,300",90,1,670,18,4,"3,500",96,3,"3,500",96,4
978790,Cape Vincent,Town,"2,777","2,712",100.9,Jefferson,North Country Region,1,"1,800",66,2,"2,600",96,0,0,0,3,"2,600",96,4,"2,500",92,4
978791,Carlisle,Town,"1,948",817,34.3,Schoharie,Mohawk Valley Region,1,40,5,2,520,64,0,0,0,3,590,72,4,790,97,4
978792,Carlton,Town,"2,994","1,727",44.4,Orleans,Finger Lakes Region,2,"1,600",93,0,0,0,0,0,0,2,"1,600",93,5,"1,600",93,4
978793,Carmel,Town,"34,305","12,348",40.7,Putnam,Mid-Hudson Region,2,"11,900",96,1,"9,900",80,3,"11,800",96,5,"11,900",96,4,"11,900",96,4
978794,Caroga,Town,"1,205","1,708",54.1,Fulton,Mohawk Valley Region,1,"1,600",94,1,"1,500",88,0,0,0,2,"1,600",94,2,"1,500",88,4
978795,Caroline,Town,"3,282","1,495",55,Tompkins,Southern Tier Region,2,"1,000",67,2,"1,400",94,1,0,0,5,"1,400",94,6,"1,400",94,4
978796,Carroll,Town,"3,524","1,561",33.5,Chautauqua,Western NY Region,1,"1,100",70,1,"1,400",90,1,0,0,3,"1,400",90,3,"1,500",96,4
978797,Carrollton,Town,"1,297",655,52.4,Cattaraugus,Western NY Region,1,430,66,1,40,6,1,0,0,3,490,75,3,630,96,4
